Author,Title,Journal,Abstract,Publication Date,Publication Year,Volume,Issue,DOI,DOI Link
"Parker, DC; Manson, SM; Janssen, MA; Hoffmann, MJ; Deadman, P",Multi-agent systems for the simulation of land-use and land-cover change: A review,ANNALS OF THE ASSOCIATION OF AMERICAN GEOGRAPHERS,"This article presents an overview of multi-agent system models of land-use/cover change (MAS/LUCC models). This special class of LUCC models combines a cellular landscape model with agent-based representations of decision making, integrating the two components through specification of interdependencies and feedbacks between agents and their environment. The authors review alternative LUCC modeling techniques and discuss the ways in which MAS/LUCC models may overcome some important limitations of existing techniques. We briefly review ongoing MAS/LUCC modeling efforts in four research areas. We discuss the potential strengths of MAS/LUCC models and suggest that these strengths guide researchers in assessing the appropriate choice of model for their particular research question. We find that MAS/LUCC models are particularly well suited for representing complex spatial interactions under heterogeneous conditions and for modeling decentralized, autonomous decision making. We discuss a range of possible roles for MAS/LUCC models, from abstract models designed to derive stylized hypotheses to empirically detailed simulation models appropriate for scenario and policy analysis. We also discuss the challenge of validation and verification for MAS/LUCC models. Finally, we outline important challenges and open research questions in this new field. We conclude that, while significant challenges exist, these models offer a promising new tool for researchers whose goal is to create fine-scale models of LUCC phenomena that focus on human-environment interactions.",JUN,2003,93,2,10.1111/1467-8306.9302004,http://dx.doi.org/10.1111/1467-8306.9302004
"Gomez, Scarlett Lin; Shariff-Marco, Salma; DeRouen, Mindy; Keegan, Theresa H. M.; Yen, Irene H.; Mujahid, Mahasin; Satariano, William A.; Glaser, Sally L.","The impact of neighborhood social and built environment factors across the cancer continuum: Current research, methodological considerations, and future directions",CANCER,"Neighborhood social and built environments have been recognized as important contexts in which health is shaped. The authors reviewed the extent to which these neighborhood factors have been addressed in population-level cancer research by scanning the literature for research focused on specific social and/or built environment characteristics and their association with outcomes across the cancer continuum, including incidence, diagnosis, treatment, survivorship, and survival. The commonalities and differences in methodologies across studies, the current challenges in research methodology, and future directions in this research also were addressed. The assessment of social and built environment factors in relation to cancer is a relatively new field, with 82% of the 34 reviewed articles published since 2010. Across the wide range of social and built environment exposures and cancer outcomes considered by the studies, numerous associations were reported. However, the directions and magnitudes of associations varied, in large part because of the variation in cancer sites and outcomes studied, but also likely because of differences in study populations, geographic regions, and, importantly, choice of neighborhood measures and geographic scales. The authors recommend that future studies consider the life-course implications of cancer incidence and survival, integrate secondary and self-report data, consider work neighborhood environments, and further develop analytical and statistical approaches appropriate to the geospatial and multilevel nature of the data. Incorporating social and built environment factors into research on cancer etiology and outcomes can provide insights into disease processes, identify vulnerable populations, and generate results with translational impact of relevance for interventionists and policy makers. Cancer 2015;121:2314-2330. (c) 2015 American Cancer Society. Neighborhood social and built environments have been recognized as important contexts in which health is shaped. The literature relating various cancer outcomes to neighborhood social and built environment factors is reviewed, and the authors discuss methodological considerations for this area of research.",15-Jul,2015,121,14,10.1002/cncr.29345,http://dx.doi.org/10.1002/cncr.29345
"Marcot, Bruce G.; Penman, Trent D.",Advances in Bayesian network modelling: Integration of modelling technologies,ENVIRONMENTAL MODELLING & SOFTWARE,"Bayesian network (BN) modeling is a rapidly advancing field. Here we explore new methods by which BN model development and application are being joined with other tools and model frameworks. Advances include improving areas of Bayesian classifiers and machine-learning algorithms for model structuring and parameterization, and development of time-dynamic models. Increasingly, BN models are being integrated with: management decision networks; structural equation modeling of causal networks; Bayesian neural networks; combined discrete and continuous variables; object-oriented and agent-based models; state-and-transition models; geographic information systems; quantum probability; and other fields. Integrated BNs (IBNs) are becoming useful tools in risk analysis, risk management, and decision science for resource planning and environmental management. In the near future, IBNs may become self-structuring, self-learning systems fed by real-time monitoring data. Such advances may make model validation difficult, and may question model credibility, particularly if based on uncertain sources of knowledge systems and big data.",JAN,2019,111,,10.1016/j.envsoft.2018.09.016,http://dx.doi.org/10.1016/j.envsoft.2018.09.016
"Perez, Liliana; Dragicevic, Suzana",An agent-based approach for modeling dynamics of contagious disease spread,INTERNATIONAL JOURNAL OF HEALTH GEOGRAPHICS,"Background: The propagation of communicable diseases through a population is an inherent spatial and temporal process of great importance for modern society. For this reason a spatially explicit epidemiologic model of infectious disease is proposed for a greater understanding of the disease's spatial diffusion through a network of human contacts. Objective: The objective of this study is to develop an agent-based modelling approach the integrates geographic information systems (GIS) to simulate the spread of a communicable disease in an urban environment, as a result of individuals' interactions in a geospatial context. Methods: The methodology for simulating spatiotemporal dynamics of communicable disease propagation is presented and the model is implemented using measles outbreak in an urban environment as a case study. Individuals in a closed population are explicitly represented by agents associated to places where they interact with other agents. They are endowed with mobility, through a transportation network allowing them to move between places within the urban environment, in order to represent the spatial heterogeneity and the complexity involved in infectious diseases diffusion. The model is implemented on georeferenced land use dataset from Metro Vancouver and makes use of census data sets from Statistics Canada for the municipality of Burnaby, BC, Canada study site. Results: The results provide insights into the application of the model to calculate ratios of susceptible/infected in specific time frames and urban environments, due to its ability to depict the disease progression based on individuals' interactions. It is demonstrated that the dynamic spatial interactions within the population lead to high numbers of exposed individuals who perform stationary activities in areas after they have finished commuting. As a result, the sick individuals are concentrated in geographical locations like schools and universities. Conclusion: The GIS-agent based model designed for this study can be easily customized to study the disease spread dynamics of any other communicable disease by simply adjusting the modeled disease timeline and/or the infection model and modifying the transmission process. This type of simulations can help to improve comprehension of disease spread dynamics and to take better steps towards the prevention and control of an epidemic outbreak.",5-Aug,2009,8,,10.1186/1476-072X-8-50,http://dx.doi.org/10.1186/1476-072X-8-50
"Warner, Koko; Afifi, Tamer",Where the rain falls: Evidence from 8 countries on how vulnerable households use migration to manage the risk of rainfall variability and food insecurity,CLIMATE AND DEVELOPMENT,"Up to present, research relating environmental change to human mobility has found out that environmental factors can play a role in migration without being conclusive. Further, in the context of climate change, scholarly literature on migration ranges across a host of climatic stressors and geographies, making it difficult to date to solve the debate whether migration is a form of adaptation or an indicator of limits to adaptation. To address both of these debates, original research was undertaken to answer the question 'under what circumstances do households (HHs) use migration as a risk management strategy when facing rainfall variability and food insecurity?'. This research administered a HH survey (n = 1300) and participatory research (n = 2000 respondents) in districts in eight countries (Guatemala, Peru, Ghana, Tanzania, Bangladesh, India, Thailand, and Vietnam). The findings reveal that the answer to how climatic stressors affect migration decisions and the degree to which migration improves the adaptive capacity of those HHs lie in the vulnerability of the HH and its sensitivity to climatic factors. The data reveal for the first time in a comparable global study distinct HH profiles of 'resilience' and 'vulnerability'. At the same time, the article distinguishes between 'content' migration - rather associated with resilient HHs - and 'erosive' migration - rather associated with vulnerable HHs. However, the article also highlights that there are not always clear cuts but very often grey areas and overlaps among the HHs of the study when applying these typologies. Moreover, the article relates these profiles to an agent-based modelling approach applied in the Tanzania case to explore under what scenarios rainfall variability and food security have the potential to become significant drivers of human mobility in particular regions of the world in the next two to three decades.",2-Jan,2014,6,1,10.1080/17565529.2013.835707,http://dx.doi.org/10.1080/17565529.2013.835707
"Schwarz, Nina; Ernst, Andreas",Agent-based modeling of the diffusion of environmental innovations - An empirical approach,TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,"This paper presents an agent-based model of the diffusion of water-saving innovations. The empirical foundation of this model is a study, which was carried out for that specific purpose. As an example case, the diffusion of three water-related innovations in Southern Germany was chosen. The model represents a real geographic area and simulates the diffusion of showerheads, toilet flushes, and rain-harvesting systems. Agents are households of certain lifestyles, as represented by the Sinus-Milieus (R) from commercial Marketing. Agents use two different kinds of decision rules to decide upon adoption or rejection of the modeled innovations: A cognitively demanding deliberate decision rule and a very simple decision heuristic. Thus, the model integrates concepts of bounded rationality. The overall framework for decision-making is the Theory of Planned Behavior, which has been elaborated using innovation characteristics from diffusion research. The model was calibrated with empirical data stemming from a questionnaire survey and validated against independent data. Scenarios for the nearer future show that water-saving innovations will diffuse even without further promotion, and different promotion strategies that relate specifically to both innovations and lifestyles can be pointed out. (C) 2008 Elsevier Inc. All rights reserved.",MAY,2009,76,4,10.1016/j.techfore.2008.03.024,http://dx.doi.org/10.1016/j.techfore.2008.03.024
"Ajelli, Marco; Goncalves, Bruno; Balcan, Duygu; Colizza, Vittoria; Hu, Hao; Ramasco, Jose J.; Merler, Stefano; Vespignani, Alessandro",Comparing large-scale computational approaches to epidemic modeling: Agent-based versus structured metapopulation models,BMC INFECTIOUS DISEASES,"Background: In recent years large-scale computational models for the realistic simulation of epidemic outbreaks have been used with increased frequency. Methodologies adapt to the scale of interest and range from very detailed agent-based models to spatially-structured metapopulation models. One major issue thus concerns to what extent the geotemporal spreading pattern found by different modeling approaches may differ and depend on the different approximations and assumptions used. Methods: We provide for the first time a side-by-side comparison of the results obtained with a stochastic agent-based model and a structured metapopulation stochastic model for the progression of a baseline pandemic event in Italy, a large and geographically heterogeneous European country. The agent-based model is based on the explicit representation of the Italian population through highly detailed data on the socio-demographic structure. The metapopulation simulations use the GLobal Epidemic and Mobility (GLEaM) model, based on high-resolution census data worldwide, and integrating airline travel flow data with short-range human mobility patterns at the global scale. The model also considers age structure data for Italy. GLEaM and the agent-based models are synchronized in their initial conditions by using the same disease parameterization, and by defining the same importation of infected cases from international travels. Results: The results obtained show that both models provide epidemic patterns that are in very good agreement at the granularity levels accessible by both approaches, with differences in peak timing on the order of a few days. The relative difference of the epidemic size depends on the basic reproductive ratio, R-0, and on the fact that the metapopulation model consistently yields a larger incidence than the agent-based model, as expected due to the differences in the structure in the intra-population contact pattern of the approaches. The age breakdown analysis shows that similar attack rates are obtained for the younger age classes. Conclusions: The good agreement between the two modeling approaches is very important for defining the tradeoff between data availability and the information provided by the models. The results we present define the possibility of hybrid models combining the agent-based and the metapopulation approaches according to the available data and computational resources.",29-Jun,2010,10,,10.1186/1471-2334-10-190,http://dx.doi.org/10.1186/1471-2334-10-190
"Castella, JC; Trung, TN; Boissau, S","Participatory simulation of land-use changes in the northern mountains of Vietnam: the combined use of an agent-based model, a role-playing game, and a geographic information system",ECOLOGY AND SOCIETY,"In Vietnam, the remarkable economic growth that resulted from the doi moi ( renovation) reforms was based largely on the rural households that had become the new basic unit of agricultural production in the early 1990s. The technical, economic, and social changes that accompanied the decollectivization process transformed agricultural production, resource management, land use, and the institutions that defined access to resources and their distribution. Combined with the extreme biophysical, technical, and social heterogeneity encountered in the northern mountains, these rapid changes led to the extreme complexity of the agrarian dynamics that today challenges traditional diagnostic approaches. Since 1999, a participatory simulation method has been developed to disentangle the cause-and-effect relationships between the different driving forces and changes in land use observed at different scales. Several tools were combined to understand the interactions between human and natural systems, including a narrative conceptual model, an agent-based spatial computational model ( ABM), a role-playing game, and a multiscale geographic information system (GIS). We synthesized into an ABM named SAMBA-GIS the knowledge generated from the above tools applied to a representative sample of research sites. The model takes explicitly into account the dynamic interactions among: ( 1) farmers' strategies, i.e., the individual decision-making process as a function of the farm's resource profile; ( 2) the institutions that define resource access and usage; and ( 3) changes in the biophysical and socioeconomic environment. The next step consisted of coupling the ABM with the GIS to extrapolate the application of local management rules to a whole landscape. Simulations are initialized using the layers of the GIS, e. g., land use in 1990, accessibility, soil characteristics, etc., and statistics available at the village level, e. g., population, ethnicity, livestock, etc. At each annual time step, the agrarian landscape changes according to the decisions made by agent-farmers about how to allocate resources such as labor force, capital, and land to different productive activities, e. g., crops, livestock, gathering of forest products, off-farm activities. The participatory simulations based on SAMBA-GIS helped identify villages with similar land-use change trajectories to which the same types of technical and/or institutional innovations could be applied. Scenarios of land-use changes were developed with local stakeholders to assess the potential impact of these changes on the natural resource base and on agricultural development. This adaptive approach was gradually refined through interactions between researchers and the local population.",JUN,2005,10,1,,
"Evans, TP; Kelley, H",Multi-scale analysis of a household level agent-based model of landcover change,JOURNAL OF ENVIRONMENTAL MANAGEMENT,"Scale issues have significant implications for the analysis of social and biophysical processes in complex systems. These same scale implications are likewise considerations for the design and application of models of landcover change. Scale issues have wide-ranging effects from the representativeness of data used to validate models to aggregation errors introduced in the model structure. This paper presents an analysis of how scale issues affect an agent-based model (ABM) of landcover change developed for a research area in the Midwest, USA. The research presented here explores how scale factors affect the design and application of agent-based landcover change models. The ABM is composed of a series of heterogeneous agents who make landuse decisions on a portfolio of cells in a raster-based programming environment. The model is calibrated using measures of fit derived from both spatial composition and spatial pattern metrics from multi-temporal landcover data interpreted from historical aerial photography. A model calibration process is used to find a best-fit set of parameter weights assigned to agents' preferences for different landuses (agriculture, pasture, timber production, and non-harvested forest). Previous research using this model has shown how a heterogeneous set of agents with differing preferences for a portfolio of landuses produces the best fit to landcover changes observed in the study area. The scale dependence of the model is explored by varying the resolution of the input data used to calibrate the model (observed landcover), ancillary datasets that affect land suitability (topography), and the resolution of the model landscape on which agents make decisions. To explore the impact of these scale relationships the model is run with input datasets constructed at the following spatial resolutions: 60, 90, 120, 150, 240, 300 and 480 in. The results show that the distribution of landuse-preference weights differs as a function of scale. In addition, with the gradient descent model fitting method used in this analysis the model was not able to converge to an acceptable fit at the 300 and 480 m spatial resolutions. This is a product of the ratio of the input cell resolution to the average parcel size in the landscape. This paper uses these findings to identify scale considerations in the design, development, validation and application of ABMs of landcover change. (C) 2004 Elsevier Ltd. All rights reserved.",AUG,2004,72,1月2日,10.1016/j.jenvman.2004.02.008,http://dx.doi.org/10.1016/j.jenvman.2004.02.008
"Merler, Stefano; Ajelli, Marco; Fumanelli, Laura; Gomes, Marcelo F. C.; Pastore y Piontti, Ana; Rossi, Luca; Chao, Dennis L.; Longini, Ira M., Jr.; Halloran, M. Elizabeth; Vespignani, Alessandro",Spatiotemporal spread of the 2014 outbreak of Ebola virus disease in Liberia and the effectiveness of non-pharmaceutical interventions: a computational modelling analysis,LANCET INFECTIOUS DISEASES,"Background The 2014 epidemic of Ebola virus disease in parts of west Africa defines an unprecedented health threat. We developed a model of Ebola virus transmission that integrates detailed geographical and demographic data from Liberia to overcome the limitations of non-spatial approaches in projecting the disease dynamics and assessing non-pharmaceutical control interventions. Methods We modelled the movements of individuals, including patients not infected with Ebola virus, seeking assistance in health-care facilities, the movements of individuals taking care of patients infected with Ebola virus not admitted to hospital, and the attendance of funerals. Individuals were grouped into randomly assigned households (size based on Demographic Health Survey data) that were geographically placed to match population density estimates on a grid of 3157 cells covering the country. The spatial agent-based model was calibrated with a Markov chain Monte Carlo approach. The model was used to estimate Ebola virus transmission parameters and investigate the effectiveness of interventions such as availability of Ebola treatment units, safe burials procedures, and household protection kits. Findings Up to Aug 16,2014, we estimated that 38.3% of infections (95% CI 17.4-76.4) were acquired in hospitals, 30.7% (14.1-46.4) in households, and 8.6% (3.2-11.8) while participating in funerals. We noted that the movement and mixing, in hospitals at the early stage of the epidemic, of patients infected with Ebola virus and those not infected was a sufficient driver of the reported pattern of spatial spread. The subsequent decrease of incidence at country and county level is attributable to the increasing availability of Ebola treatment units (which in turn contributed to drastically decreased hospital transmission), safe burials, and distribution of household protection kits. Interpretation The model allows assessment of intervention options and the understanding of their role in the decrease in incidence reported since Sept 7,2014. High-quality data (eg, to estimate household secondary attack rate, contact patterns within hospitals, and effects of ongoing interventions) are needed to reduce uncertainty in model estimates.",FEB,2015,15,2,10.1016/S1473-3099(14)71074-6,http://dx.doi.org/10.1016/S1473-3099(14)71074-6
